名称,名称_カナ,住所,男性トイレの有無,女性トイレの有無,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用可能な曜日,利用開始時間,利用終了時間,利用可能時間特記事項
徳島県立防災センター,トクシマケンリツボウサイセンター,北島町鯛浜字大西165,有,有,有,有,有,火水木金土日,08:30,17:00,第一火曜日，12/28～1/4は利用不可。
消防学校,ショウボウガッコウ,北島町鯛浜字大西159外,有,有,無,無,無,月火水木金土日,08:30,17:00,12/29～1/3は利用不可。
徳島県立南部防災館,トクシマケンリツナンブボウサイカン,海陽町浅川字西福良43,有,有,有,有,有,火水木金土日,09:00,17:00,月、第１火、年末年始は利用不可
徳島県立西部防災館（本館）,トクシマケンリツセイブボウサイカン（ホンカン）,美馬市美馬町中鳥,有,有,有,有,有,月水木金土日,09:00,17:00,休館日(年末年始を含む)は利用不可。
徳島県立西部防災館（別館）,トクシマケンリツセイブボウサイカン（ベッカン）,美馬市美馬町中鳥,有,有,有,有,有,月水木金土日,09:00,17:00,"休館日(年末年始を含む)は利用不可。
男性，女性トイレは制限なく終日利用可。"
消費者情報センター,ショウヒシャジョウホウセンター,徳島市徳島町城内2-1,有,有,有,有,有,月火水木金土日,09:00,21:00,"第２・第４水曜日，年末年始（12/29～1/3）は休館日
（第２・第４水曜日が祝日の場合は開館，祝日開けの平日が休館日）
その他、青少年センターの設備のため、同センターの利用可能時間に準ずる"
鳴門合同庁舎                ,ナルトゴウドウチョウシャ,鳴門市撫養町立岩字七枚128,有,有,有,有,無,月火水木金,08:30,17:15,祝日，年末及び年始は利用不可
動物愛護管理センター,ドウブツアイゴカンリセンター,神山町阿野字長谷333,有,有,有,有,有,月火水木金土日,08:30,17:15,年末及び年始は利用不可
万代庁舎                      ,ﾊﾞﾝﾀﾞｲﾁｮｳｼｬ,徳島市万代町１丁目1,有,有,有,有,有,月火水木金,08:00,18:30,祝日，年末及び年始は利用不可。
徳島合同庁舎                ,ﾄｸｼﾏｺﾞｳﾄﾞｳﾁｮｳｼｬ,徳島市新蔵町１丁目67,有,有,有,有,有,月火水木金,08:30,18:15,祝日，年末及び年始は利用不可。
南部総合県民局阿南庁舎                ,ﾅﾝﾌﾞｿｳｺﾞｳｹﾝﾐﾝｷｮｸｱﾅﾝﾁｮｳｼｬ,阿南市富岡町あ王谷46-1,有,有,有,有,有,月火水木金,08:30,18:15,祝日，年末及び年始は利用不可。
南部総合県民局美波庁舎                ,ﾅﾝﾌﾞｿｳｺﾞｳｹﾝﾐﾝｷｮｸﾐﾅﾐﾁｮｳｼｬ,美波町奥河内字弁財天17-1,有,有,有,有,有,月火水木金,08:30,18:15,祝日，年末及び年始は利用不可。
吉野川合同庁舎                ,ﾖｼﾉｶﾞﾜｺﾞｳﾄﾞｳﾁｮｳｼｬ,吉野川市川島町宮島字南中須736-1,有,有,有,有,有,月火水木金,08:30,17:30,祝日，年末及び年始は利用不可。
西部総合県民局美馬庁舎                ,ｾｲﾌﾞｿｳｺﾞｳｹﾝﾐﾝｷｮｸﾐﾏﾁｮｳｼｬ,美馬市脇町大字猪尻字建神社下南73-1,有,有,有,有,有,月火水木金,08:30,17:15,祝日，年末及び年始は利用不可。
西部総合県民局三好庁舎                ,ｾｲﾌﾞｿｳｺﾞｳｹﾝﾐﾝｷｮｸﾐﾖｼﾁｮｳｼｬ,三好市池田町マチ2415-1,有,有,有,有,有,月火水木金,08:30,17:15,祝日，年末及び年始は利用不可。
東部県税局自動車税庁舎,トウブケンゼイキョクジドウシャゼイチョウシャ,徳島市応神町応神産業団地１番地５,有,有,有,無,無,月火水木金,08:30,17:15,祝日，年末及び年始は利用不可。
（ときわプラザ）男女共同参画交流センター,ダンジョキョウドウサンカクコウリュウセンター,徳島市山城町東浜傍示１－１,有,有,有,有,有,月水木金土日,10:00,18:00,年末及び年始は利用不可。
青少年センター,セイショウネンセンター,徳島市徳島町城内2-1,有,有,有,有,有,月火水木金土日,09:00,21:00,第2・第4水曜日、年末年始は利用不可。
中央こども女性相談センター,チュウオウコドモジョセイソウダンセンター,徳島市昭和町５丁目5-1,有,有,有,有,有,月火水木金,08:30,18:15,祝日、年末年始は利用不可。
郷土文化会館,キョウドブンカカイカン,徳島市藍場町２丁目14,有,有,有,有,有,月火水木金土日,09:00,17:00,年末年始(12/29～1/3)等は利用不可。
文学書道館,ブンガクショドウカン,徳島市中前川町２丁目22-1外,有,有,有,有,無,火水木金土日,09:30,17:00,年末年始(12/28～1/4)等は利用不可。
埋蔵文化財総合センター,マイゾウブンカザイソウゴウセンター,板野町犬伏字平山86-2,有,有,有,無,無,火水木金土日,09:00,17:00,祝日，年末及び年始は利用不可。
文化の森総合公園文化施設,ブンカノモリソウゴウコウエンブンカシセツ,徳島市八万町向寺山,有,有,有,有,有,火水木金土日,09:30,17:00,休館日の月曜日(祝日の場合は翌日)，年末及び年始は利用不可だが，館外は利用可能。
中央武道館,チュウオウブドウカン,徳島市徳島町城の内6,有,有,有,無,有,月水木金土日,09:00,21:00,年末年始は利用不可
鳴門公園第三駐車場,ナルトコウエンダイサンチュウシャジョウ,鳴門市鳴門町土佐泊浦字福池,有,有,有,無,無,月火水木金土日,00:00,23:59,
鳴門公園第四駐車場,ナルトコウエンダイヨンチュウシャジョウ,鳴門市鳴門町土佐泊浦字福池,有,有,無,無,無,月火水木金土日,00:00,23:59,
鳴門公園お茶園,ナルトコウエンオチャエン,鳴門市鳴門町土佐泊浦字福池,有,有,無,無,無,月火水木金土日,00:00,23:59,
鳴門公園千畳敷,ナルトコウエンセンジョウジキ,鳴門市鳴門町土佐泊浦字福池,有,有,有,有,有,月火水木金土日,00:00,23:59,
鳴門公園網干駐車場,ナルトコウエンアボシチュウシャジョウ,鳴門市鳴門町土佐泊浦字大毛,有,有,有,無,無,月火水木金土日,00:00,23:59,
剣山山頂あわエコトイレ,ツルギサンサンチョウアワエコトイレ,那賀郡那賀町岩倉,有,有,有,有,無,月火水木金土日,00:00,23:59,12月上旬～4月下旬は利用不可。
剣山国定公園見ノ越第一駐車場,ツルギサンコクテイコウエンミノコシダイイチチュウシャジョウ,三好市東祖谷菅生,有,有,無,無,無,月火水木金土日,00:00,23:59,令和2年度は改築中のため利用不可。
